datetime,open,high,low,close,volume
2025-01-01,101.49273196950831,101.66421582158083,100.46426734650379,100.99342830602247,1049
2025-01-02,99.50142024858245,103.13091538664303,98.74614445010275,100.24124776832119,3711
2025-01-03,102.84704487403563,102.84704487403563,101.07374213366394,102.33051848217758,3578
2025-01-04,103.64691780651677,107.50738045372208,101.85320627039486,104.59774397359917,4683
2025-01-05,100.6429354233489,101.72816805614264,100.511506622941,101.5986883202909,4131
2025-01-06,101.75961196014585,104.78582086294098,100.37062647101263,102.11239152184676,4238
2025-01-07,106.2280009284823,107.83381787493187,104.35392168391438,106.25071454767297,4273
2025-01-08,105.6771458035623,108.1152253563046,105.0970475981817,105.1363309679467,3904
2025-01-09,103.53542411396981,103.53542411396981,101.17822124470668,103.1688333607568,1145
2025-01-10,105.5877786022212,107.35753604267167,105.16186528885845,105.69597318946771,1914
2025-01-11,103.73069855493982,107.09135282923378,101.30023426996813,104.18344522237649,4747
2025-01-12,105.66846467425677,106.24350920645179,104.228227490682,104.67421567394135,4040
2025-01-13,106.43293930660136,108.46877261653519,105.33670433094834,106.5805767021294,2462
2025-01-14,102.65904570308348,104.84351772137798,102.50022265018819,102.75627165442413,3289
2025-01-15,102.94125343132556,104.97762898324554,100.62338303340438,103.61400578894222,1580
2025-01-16,107.00435660935081,108.29741175210313,104.90815248085721,106.41473751185094,3734
2025-01-17,106.37058678434775,107.73616526855407,104.19706728082464,105.98322233278478,2584
2025-01-18,108.5422374648034,111.80417227069886,108.5422374648034,109.10069823922589,1482
2025-01-19,106.27763707479346,107.24921412458616,104.86299357236425,107.11287498356178,4179
2025-01-20,106.91509588384254,107.3969868484698,105.92438050040636,106.55409727969311,2249
2025-01-21,113.06153787908372,115.60374990275112,110.0583525821993,112.75251545052144,1672
2025-01-22,109.3511076357272,112.47537993340353,109.18916966028476,109.80458858173078,1630
2025-01-23,111.71994542857182,112.18518856242814,110.24615514208,110.818218304071,3708
2025-01-24,107.55459627966971,110.11287828951252,107.55459627966971,108.2524804961079,1661
2025-01-25,110.28819685607353,111.25567080293172,109.00732641865832,110.42352725398833,4503
2025-01-26,113.02290314536252,113.02290314536252,110.44114790523946,112.13567130502732,3852
2025-01-27,109.8437718088162,111.3954123897839,109.8071912566789,110.00431717496396,4726
2025-01-28,113.71791323250308,114.50091802125307,111.11427848708988,113.44086133717491,3466
2025-01-29,111.65696954208575,113.61274908171278,110.50191424191608,111.86178074616016,1987
2025-01-30,112.39188620236659,113.07665970856421,111.27028498968652,112.84345579766925,4526
2025-01-31,113.54513506459003,115.50036419166888,111.25489152785569,112.57717976867038,4231
2025-02-01,117.64731573360302,120.78727995441174,116.62635853834696,117.82864772097294,2546
2025-02-02,115.21833868666515,116.52462542136612,112.75121928538223,114.43014027930688,1649
2025-02-03,112.1240192919315,114.27239917918169,112.1240192919315,112.66411008014933,1968
2025-02-04,116.16240371373472,117.66477715454353,116.16240371373472,116.73619430568455,3637
2025-02-05,112.01226762650765,115.39138451985947,110.36464259769807,112.94999946073862,2100
2025-02-06,116.40218711538235,118.15304698229221,113.26050707822968,116.09885346463058,3556
2025-02-07,111.77699624098359,112.52779437157075,110.92001560469681,112.03994355353608,1440
2025-02-08,114.29837796554055,116.3024430193428,112.75742744643061,113.56966146586127,4325
2025-02-09,116.82140566463201,119.3425975800184,114.94298722153185,116.8749858512489,1920
2025-02-10,119.13819481101345,121.05120769505979,116.97560544188973,118.20180795518401,1769
2025-02-11,116.67057079669901,119.47667829045785,116.67057079669901,117.29951976529277,2343
2025-02-12,117.68286771270711,118.78586696460326,116.47716358469731,116.94562137679588,2826
2025-02-13,117.33620869538348,118.03774409867185,114.6350983032578,116.7830149898,1262
2025-02-14,115.16645369788259,117.42279545865652,112.64783818286404,114.62461000859449,4668
2025-02-15,117.0160624233441,118.92468763561155,116.24520798959986,116.32649596711032,4729
2025-02-16,117.53956980483264,117.53956980483264,116.35160533714779,117.01752182294663,4906
2025-02-17,120.46618402792942,120.46618402792942,119.52051899490237,120.21374338466659,2577
2025-02-18,118.19802362031263,120.06492396558201,116.91985563415167,118.93553386494786,4445
2025-02-19,113.92419485659471,117.29080248995771,113.92419485659471,114.85914249761221,3684
2025-02-20,120.00018166603203,122.1203143583455,118.84616022444693,119.15848597040066,4238
2025-02-21,118.08677565403323,118.30472569830233,115.45372676887219,117.85347502499175,4824
2025-02-22,117.96448871341522,119.15380627751928,116.83578014529986,117.37141413146287,3506
2025-02-23,120.00165555886205,121.18128342573002,118.08037253228133,120.03861085583695,1998
2025-02-24,120.19035390064235,123.86548071616137,120.19035390064235,120.95573752271756,4351
